call_addr	protocol_id	size	function	source
0x18017044f	0x004A	?	KPlayerClient::DoChangeDynamicSkillGroup	JX3LogicEditOperationX64.dll
0x1801704fe	0x004A	0x2F	KPlayerClient::DoChangeMemberRemarkRequest	JX3LogicEditOperationX64.dll
0x180170591	0x0197	?	KPlayerClient::DoChangeSkillSkinState	JX3LogicEditOperationX64.dll
0x18017061c	0x0100	0xF	KPlayerClient::DoChangeTalentSet	JX3LogicEditOperationX64.dll
0x1801706ac	0x009E	0xF	KPlayerClient::DoChangeTongMasterRequest	JX3LogicEditOperationX64.dll
0x180170741	0x009D	?	KPlayerClient::DoChangeTongMemberGroupRequest	JX3LogicEditOperationX64.dll
0x1801707d8	0x0014	?	KPlayerClient::DoChangeTongMemberGroupRequest	JX3LogicEditOperationX64.dll
0x1801708e9	0x0014	?	KPlayerClient::DoCharacterJump	JX3LogicEditOperationX64.dll
0x18017097e	0x004E	?	KPlayerClient::DoCharacterJump	JX3LogicEditOperationX64.dll
0x180170a59	0x000E	?	KPlayerClient::DoCharacterJump	JX3LogicEditOperationX64.dll
0x180170b02	0x0012	?	KPlayerClient::DoCharacterJump	JX3LogicEditOperationX64.dll
0x180170c12	0x001B	0x1D	KPlayerClient::DoCharacterSkill	JX3LogicEditOperationX64.dll
0x180170cc1	0x000C	0x29	KPlayerClient::DoCharacterSkill	JX3LogicEditOperationX64.dll
0x180170da7	0x0009	?	KPlayerClient::DoCharacterSkill	JX3LogicEditOperationX64.dll
0x180170e6c	0x0002	?	KPlayerClient::DoCloseIdenfityRequest	JX3LogicEditOperationX64.dll
0x180170f48	0x013A	?	KPlayerClient::DoCloseIdenfityRequest	JX3LogicEditOperationX64.dll
0x1801710a5	0x00DB	?	KPlayerClient::DoCoinShopBuyRequest	JX3LogicEditOperationX64.dll
0x180171161	0x012C	?	KPlayerClient::DoCoinShopChangeExteriorColor	JX3LogicEditOperationX64.dll
0x1801711f1	0x00DE	?	KPlayerClient::DoCoinShopDelBoxGoods	JX3LogicEditOperationX64.dll
0x180171281	0x0191	?	KPlayerClient::DoCoinShopDrawRequest	JX3LogicEditOperationX64.dll
0x180171435	0x00DC	?	KPlayerClient::DoCoinShopPeerPayRequest	JX3LogicEditOperationX64.dll
0x180171599	0x00DA	?	KPlayerClient::DoCoinShopSaveRequest	JX3LogicEditOperationX64.dll
0x180171651	0x00DD	?	KPlayerClient::DoCoinShopTakeBoxGoods	JX3LogicEditOperationX64.dll
0x1801716e2	0x00D9	?	KPlayerClient::DoComfirmEnterQueueMap	JX3LogicEditOperationX64.dll
0x180171771	0x0116	?	KPlayerClient::DoComfirmEnterQueueMap	JX3LogicEditOperationX64.dll
0x1801717fc	0x012F	0xC	KPlayerClient::DoComfirmOrCancelSyncMapProgess	JX3LogicEditOperationX64.dll
0x180171893	0x008C	?	KPlayerClient::DoComfirmOrCancelSyncMapProgess	JX3LogicEditOperationX64.dll
0x180171935	0x0089	?	KPlayerClient::DoCorpsCreateRequest	JX3LogicEditOperationX64.dll
0x180171993	0x008B	?	KPlayerClient::DoCorpsCreateRequest	JX3LogicEditOperationX64.dll
